FIPS Code,less_than_hs,hs_diploma_only,some_college_or_associates,bachelors_or_higher
39059,3955,11678,7719,3992
39061,47402,144418,149234,208326
39063,3908,18688,15294,14056
39065,2020,9208,4839,3109
39067,1447,5254,3000,1269
39069,1225,8352,5986,3223
39071,4376,13322,7714,3947
39073,2181,9102,5815,2880
39075,11048,8443,3682,2476
39077,4521,18184,11012,5679
39079,3667,9338,5982,3210
39081,4240,21169,14393,7481
39083,3524,16081,11530,9280
39085,12724,52666,54780,45339
39087,5293,18636,12178,6297
39089,9968,40297,36581,30601
39091,2309,15105,8622,5149
39093,21937,65829,71870,52877
39095,31364,86830,97374,76827
39097,4125,13160,8839,5527
39099,14875,61634,47614,39614
39101,5602,20601,14298,5807
39103,6142,38487,37497,42166
39105,2707,6907,4736,2166
39107,2123,12233,7706,4943
39109,6449,26735,22859,17017
39111,1098,5236,2511,1264
39113,36126,101192,125596,101639
39115,1536,4593,3268,1066
39117,2977,10627,7236,3347
39119,7177,24388,17653,9437
39121,1694,5300,2979,1097
39123,2525,10682,10172,7008
39125,1234,6216,3494,2030
39127,3127,11707,6833,3005
39129,5162,17146,10532,7411
39131,3841,7795,5313,2452
39133,8024,38519,28228,30540
39135,2764,12640,8709,4689
39137,1637,9324,6897,4723
39139,11062,33313,24765,15509
39141,6759,23422,15735,8598
39143,3950,17378,13068,6601
39145,7993,21764,14782,8298
39147,3083,16836,11040,6261
39149,3157,13363,9779,6053
39151,21769,99295,79469,59233
39153,31386,114876,110574,123423
39155,15208,63859,37464,26841
39157,8993,28618,15319,11113
39159,2510,12243,9889,13579
39161,1691,8592,5901,3221
39163,1769,3996,2216,1169
39165,9494,39740,38694,66311
39167,4070,17433,13638,8152
39169,10290,29775,19324,16948
39171,2423,10851,8440,3907
39173,4589,24781,24359,27089
39175,1235,6959,4415,2611
40001,2755,6666,3231,1665
40003,649,1638,1130,954
40005,1618,3881,2699,1443
40007,576,1241,1029,708
40009,2145,5348,4797,2482
40011,1215,2524,2125,1161
40013,4227,10174,9873,6791
40015,2848,8107,5624,3011
40017,7994,27718,31783,25471
40019,3859,11844,9924,6613
40021,4102,9536,8791,8006
40023,1808,3889,3091,1357
40025,264,562,378,355
40027,14531,43903,59952,59491
40029,649,1558,887,649
40031,7704,25348,27117,17160
40033,615,1660,1149,545
40035,1335,3992,3286,1482
40037,6147,19474,14800,8250
40039,2095,5284,5386,4207
40041,4631,10961,9512,5550
40043,200,1337,912,775
40045,399,970,879,566
40047,4909,14671,11684,9290
40049,2554,8389,4957,2751
40051,3704,14993,11132,7407
40053,280,1109,874,739
40055,679,1535,1476,517
40057,385,477,643,393
40059,467,848,752,495
40061,1323,3243,2703,1401
40063,1657,3747,2688,1198
40065,2396,4328,5594,3747
40067,710,1750,1141,621
40069,1043,2600,2310,1498
40071,3881,9567,10474,5579
40073,1193,3897,2807,2276
40075,943,2297,1866,1063
40077,862,2589,2380,1208
40079,5557,13870,9405,4948
40081,3030,9703,7347,3679
40083,3033,9988,9222,8529
40085,1186,2798,1837,911
40087,2584,8580,8438,6531
40089,3731,9406,5789,2940
40091,2045,6160,4225,2004
40093,592,2007,1560,1038
40095,2375,4037,3242,1683
40097,3769,11038,9155,4006
40099,1528,3683,2793,1688
40101,6731,15717,13878,9309
40103,735,3209,1992,1791
40105,794,3163,2399,827
40107,1694,3279,2343,964
40109,64784,131920,152823,164395
40111,3536,9258,9327,3628
40113,3896,12649,10645,5975
40115,3010,7444,7068,2977
40117,1268,4988,3150,1876
40119,3444,12078,12023,16465
40121,4043,11861,10141,5002
40123,2678,8180,7010,7029
40125,5720,17475,15891,8740
40127,1324,3341,2081,1123
40129,286,900,888,401
40131,4913,19774,21614,15317
40133,2573,5565,5892,2343
40135,5316,10976,8023,4089
40137,3832,12759,8528,5103
40139,3501,3250,3091,2800
40141,1130,1678,1345,866
40143,45008,107747,136949,135181
40145,5036,17618,18503,12431
40147,3409,12053,9906,10099
40149,750,3128,2096,1569
40151,574,1679,1659,1702
40153,1686,5488,3910,2675
41001,1080,3723,4329,2842
41003,2263,7337,15783,29976
41005,19240,61576,100791,108614
41007,2259,7600,11672,6944
41009,3192,12441,14335,6788
41011,5316,14369,19443,8451
41013,1711,5706,6325,3382
41015,1777,5010,7016,4501
41017,8562,29577,49483,47993
41019,8394,26031,32218,13926
41021,143,435,598,248
41023,620,1990,1874,1048
41025,448,1947,1948,980
41027,2942,3442,4342,5038
41029,15385,40404,56078,43162
41031,2100,4972,5989,3136
41033,6151,19761,26755,11135
41035,5593,14532,17417,9396
41037,796,2031,2099,967
41039,20772,59472,98036,78093
41041,3203,10223,14710,9335
41043,9145,25202,35757,16746
41045,3733,6207,7118,2707
41047,33022,59570,78609,52627
41049,1739,2374,2415,646
41051,50082,99565,168325,269318
41053,4853,12577,19473,16550
41055,134,399,502,216
41057,2056,5666,7711,4306
41059,8897,14401,18561,8685
41061,1279,5645,6314,4301
41063,378,1569,2088,1451
41065,2492,5320,6905,3582
41067,31602,70243,122815,179725
41069,92,407,434,163
41071,7799,17361,26427,18942
42001,8041,28744,19188,16049
42003,47938,238315,229318,367979
42005,4710,23798,11956,8136
42007,8396,44646,38302,29978
42009,4256,18111,7733,5199
42011,37796,104002,71165,70615
42013,7601,39852,22209,18826
42015,4260,20252,10487,8060
42017,27338,126009,109404,184764
42019,6783,43502,34851,47824
42021,7654,43187,24233,20102
42023,331,1714,1018,485
42025,4985,21362,12331,8429
42027,5645,29079,19231,44957
42029,22448,73586,70062,187213
42031,2614,12289,5690,5845
42033,7557,29255,13397,8912
42035,2709,11558,6171,4937
42037,4260,18780,10667,10010
42039,6547,27342,13217,12623
42041,13382,55840,41545,63896
42043,19506,63426,49252,58893
42045,26530,115782,91411,149601
42047,1712,10679,5497,4352
42049,16264,72214,46745,52303
42051,11129,46167,22253,16620
42053,1021,3442,1046,484
42055,12621,46345,25292,23248
42057,1279,5490,2317,1426
42059,3277,12083,6264,4622
42061,3451,15986,7601,5703
42063,5578,24004,13220,12759
42065,3330,15951,6971,4975
42067,2888,8439,3467,2500
42069,13370,54911,38537,42164
42071,54421,128466,81815,99271
42073,5757,26992,15792,13731
42075,12309,42216,21550,19834
42077,27459,81976,65052,74404
42079,23102,88531,63508,51948
42081,8003,31314,22381,18814
42083,2422,13972,7455,5545
42085,7955,33900,18989,17922
42087,4873,16802,6904,3869
42089,12070,40932,34790,28742
42091,32321,136438,124804,285240
42093,1253,5337,2512,4208
42095,19343,73098,55342,64261
42097,8051,33432,14560,11149
42099,4111,15503,7653,5447
42101,164444,349875,240443,318691
42103,2881,14104,13076,11014
42105,1456,5704,3101,1864
42107,11165,48726,27273,17334
42109,3627,12326,5748,5347
42111,6531,27609,12526,8795
42113,514,2346,1213,846
42115,3090,13656,7975,5653
42117,2793,13216,7570,5564
42119,4047,11940,6668,7958
42121,3729,18243,8908,7118
42123,2076,13267,8156,5695
42125,10225,55609,38374,44756
42127,4098,16836,10335,8002
42129,14630,96195,73815,75789
42131,1526,9079,5119,3840
42133,31421,122789,79011,77145
44001,3097,6630,7667,16742
44003,9477,33877,37403,40273
44005,3660,13445,14500,29260
44007,61855,134675,112207,125948
44009,4378,19760,22451,39895
45001,3141,5825,5485,2667
45003,14200,38676,33998,31189
45005,1282,2910,1569,585
45007,20043,42462,43334,30255
45009,1889,3127,2791,1806
45011,2883,5048,4550,1790
45013,9672,29735,39218,54999
45015,15217,42093,49928,35717
45017,1489,3899,3244,2144
45019,23789,64967,72405,124598
45021,7606,13387,12112,5465
45023,4026,8844,6615,3012
45025,7450,13189,7964,3303
45027,5221,8861,6520,3658
45029,3510,11886,6947,3810
45031,8136,16215,13276,8510
45033,5015,7919,5110,2258
45035,10950,29048,36333,29978
45037,3358,7221,5815,3278
45039,2238,6712,4562,2752
45041,14047,30750,26650,22093
45043,5900,13231,14286,12553
45045,41290,81854,100591,120854
45047,7044,14530,14309,11707
45049,2614,5852,3658,1633
45051,25543,80080,82576,58286
45053,3673,7569,5349,3589
45055,5474,16438,13940,9153
45057,9301,19753,19209,17730
45059,8772,15582,14227,7453
45061,2254,5062,2950,1937
45063,20798,56402,62247,60822
45065,1304,2660,2279,1608
45067,4559,9092,5067,2920
45069,4359,8064,4986,1699
45071,4683,9372,7312,4668
45073,8492,16303,16862,14469
45075,8318,18496,20609,11777
45077,11462,22715,23659,20289
45079,22030,58037,77251,100940
45081,3115,5021,3748,2399
45083,29716,60882,66221,50943
45085,10188,21610,24794,13531
45087,3662,7804,5847,2216
45089,4336,9095,5726,2684
45091,16442,44899,57895,59552
46003,234,605,579,388
46005,1897,4116,3614,2485
46007,369,623,598,297
46009,635,1865,1622,921
46011,917,4662,5451,7457
46013,1802,8118,8225,7563
46015,397,1123,1086,968
46017,226,409,310,88
46019,622,2927,2058,1332
46021,111,395,295,312
46023,658,2189,1829,1068
46025,218,1042,741,471
46027,350,1447,1683,3473
46029,1618,6946,6392,4095
46031,373,774,747,411
46033,441,2412,2425,1623
46035,1066,4209,4676,3586
46037,410,1442,1211,842
46039,269,1113,964,668
46041,454,1115,1020,514
46043,234,716,767,316
46045,183,918,860,698
46047,292,1825,1992,1096
46049,111,576,533,449
46051,462,1901,1524,1088
46053,313,1052,992,595
46055,83,606,465,214
46057,300,1560,1038,770
