fips_state_county_code,population,agg_assault_tot_arrests,arson_tot_arrests,burglary_tot_arrests,mtr_veh_theft_tot_arrests,murder_tot_arrests,rape_tot_arrests,robbery_tot_arrests,theft_tot_arrests,sale_cannabis_tot_arrests,sale_heroin_coke_tot_arrests,sale_other_drug_tot_arrests,sale_synth_narc_tot_arrests,poss_cannabis_tot_arrests,poss_heroin_coke_tot_arrests,poss_other_drug_tot_arrests,poss_synth_narc_tot_arrests,all_other_tot_arrests,curfew_loiter_tot_arrests,disorder_cond_tot_arrests,family_off_tot_arrests,manslaught_neg_tot_arrests,oth_assault_tot_arrests,oth_sex_off_tot_arrests,prostitution_tot_arrests,runaways_tot_arrests,suspicion_tot_arrests,vagrancy_tot_arrests,vandalism_tot_arrests,weapons_tot_arrests
47123,139800,100.0,2.0,45.0,37.0,0.0,4.0,3.0,238.0,9.0,7.0,92.0,12.0,42.0,4.0,197.0,20.0,879.0,0.0,33.0,6.0,0.0,260.0,1.0,0.0,0.0,0.0,0.0,33.0,2.0
47125,631716,429.0,2.0,102.0,129.0,25.0,27.0,51.0,969.0,11.0,11.0,15.0,3.0,1052.0,248.0,526.0,76.0,1722.0,39.0,252.0,39.0,1.0,1448.0,24.0,11.0,0.0,0.0,0.0,136.0,105.0
47127,19272,2.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,13.0,0.0,8.0,4.0,5.0,0.0,0.0,0.0,43.0,0.0,12.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
47129,64512,22.0,0.0,20.0,20.0,1.0,1.0,1.0,38.0,7.0,5.0,4.0,0.0,41.0,17.0,76.0,78.0,585.0,0.0,13.0,0.0,0.0,82.0,3.0,0.0,0.0,0.0,0.0,18.0,5.0
47131,88725,72.0,2.0,13.0,21.0,1.0,0.0,4.0,149.0,13.0,4.0,9.0,2.0,118.0,9.0,82.0,5.0,324.0,2.0,13.0,6.0,0.0,214.0,4.0,0.0,0.0,0.0,0.0,23.0,10.0
47133,66225,19.0,0.0,13.0,3.0,0.0,0.0,0.0,20.0,0.0,1.0,4.0,4.0,20.0,2.0,32.0,9.0,186.0,0.0,14.0,4.0,0.0,39.0,1.0,0.0,0.0,0.0,0.0,11.0,1.0
47135,24249,8.0,2.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,23.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47137,15255,6.0,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,15.0,7.0,0.0,0.0,14.0,5.0,68.0,0.0,4.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
47139,50748,14.0,2.0,15.0,17.0,0.0,0.0,0.0,31.0,2.0,2.0,7.0,0.0,97.0,8.0,129.0,3.0,616.0,0.0,13.0,3.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0
47141,239103,133.0,0.0,61.0,45.0,2.0,2.0,2.0,380.0,10.0,14.0,86.0,5.0,177.0,27.0,332.0,62.0,2120.0,2.0,48.0,5.0,0.0,316.0,6.0,5.0,0.0,0.0,3.0,34.0,24.0
47143,99630,61.0,0.0,25.0,11.0,0.0,6.0,1.0,50.0,15.0,4.0,44.0,1.0,100.0,16.0,211.0,13.0,868.0,1.0,46.0,11.0,0.0,132.0,1.0,0.0,0.0,0.0,0.0,8.0,3.0
47145,154425,56.0,0.0,51.0,37.0,5.0,3.0,2.0,247.0,8.0,12.0,64.0,3.0,181.0,50.0,396.0,69.0,1975.0,0.0,20.0,189.0,0.0,229.0,1.0,0.0,0.0,0.0,0.0,30.0,5.0
