Fips Code,Living Wage,Poverty Wage,Minimum Wage
17129,26.78,10.44,10
17131,26.61,10.44,10
17133,27.51,10.44,10
17135,26.04,10.44,10
17137,26.24,10.44,10
17139,26.04,10.44,10
17140,26.14,10.44,8.7
17141,26.68,10.44,10
17143,26.56,10.44,10
17145,26.04,10.44,10
17147,27.2,10.44,10
17149,26.04,10.44,10
17151,26.04,10.44,10
17153,26.04,10.44,10
17155,26.35,10.44,10
17157,26.05,10.44,10
17159,26.04,10.44,10
17161,26.61,10.44,10
17163,27.51,10.44,10
17165,26.04,10.44,10
17167,26.78,10.44,10
17169,26.04,10.44,10
17171,26.04,10.44,10
17173,26.04,10.44,10
17175,26.56,10.44,10
17177,26.04,10.44,10
17179,26.56,10.44,10
17181,26.04,10.44,10
17183,26.33,10.44,10
17185,26.06,10.44,10
17187,26.04,10.44,10
17189,26.37,10.44,10
17191,26.04,10.44,10
17193,26.04,10.44,10
17195,26.43,10.44,10
17197,29.95,10.44,10
17199,26.35,10.44,10
17201,26.96,10.44,10
17203,26.56,10.44,10
17300,25.24,10.44,7.25
17420,25.09,10.44,7.25
17460,26.13,10.44,8.7
17660,27.89,10.44,7.25
17780,26.49,10.44,7.25
17820,29.64,10.44,12
17860,27.45,10.44,9.45
17900,29.63,10.44,7.25
17980,26.89,10.44,7.25
18001,25.67,10.44,7.25
18003,26.04,10.44,7.25
18005,26.8,10.44,7.25
18007,26.52,10.44,7.25
18009,25.67,10.44,7.25
18011,27.29,10.44,7.25
18013,27.29,10.44,7.25
18015,25.67,10.44,7.25
18017,25.67,10.44,7.25
18019,26.77,10.44,7.25
18020,26.8,10.44,7.25
18021,26.18,10.44,7.25
18023,26.02,10.44,7.25
18025,25.67,10.44,7.25
18027,25.85,10.44,7.25
18029,26.72,10.44,7.25
18031,26.46,10.44,7.25
18033,25.97,10.44,7.25
18035,25.9,10.44,7.25
18037,25.67,10.44,7.25
18039,26.39,10.44,7.25
18041,25.67,10.44,7.25
18043,26.77,10.44,7.25
18045,25.81,10.44,7.25
18047,25.71,10.44,7.25
18049,25.67,10.44,7.25
18051,25.67,10.44,7.25
18053,25.67,10.44,7.25
18055,25.67,10.44,7.25
18057,27.29,10.44,7.25
18059,27.29,10.44,7.25
18061,26.77,10.44,7.25
18063,27.29,10.44,7.25
18065,25.69,10.44,7.25
18067,25.78,10.44,7.25
18069,25.67,10.44,7.25
18071,25.98,10.44,7.25
18073,26.74,10.44,7.25
18075,25.67,10.44,7.25
18077,25.95,10.44,7.25
18079,25.82,10.44,7.25
18081,27.29,10.44,7.25
18083,26.03,10.44,7.25
18085,26.01,10.44,7.25
18087,25.67,10.44,7.25
18089,27.08,10.44,7.25
18091,26.15,10.44,7.25
18093,25.92,10.44,7.25
18095,26.31,10.44,7.25
18097,27.29,10.44,7.25
18099,25.67,10.44,7.25
18101,25.67,10.44,7.25
18103,25.67,10.44,7.25
18105,26.82,10.44,7.25
18107,25.97,10.44,7.25
18109,27.29,10.44,7.25
18111,27.08,10.44,7.25
18113,25.67,10.44,7.25
18115,26.72,10.44,7.25
18117,25.67,10.44,7.25
18119,25.67,10.44,7.25
18121,25.92,10.44,7.25
18123,25.67,10.44,7.25
18125,25.67,10.44,7.25
18127,27.08,10.44,7.25
18129,26.22,10.44,7.25
18131,25.67,10.44,7.25
18133,25.95,10.44,7.25
18135,25.67,10.44,7.25
18137,25.67,10.44,7.25
18139,25.67,10.44,7.25
18140,27.07,10.44,8.7
18141,26.55,10.44,7.25
18143,26.26,10.44,7.25
18145,27.29,10.44,7.25
18147,25.67,10.44,7.25
18149,25.67,10.44,7.25
18151,26.19,10.44,7.25
18153,26.2,10.44,7.25
18155,25.67,10.44,7.25
18157,26.52,10.44,7.25
18159,26.34,10.44,7.25
18161,25.67,10.44,7.25
18163,26.22,10.44,7.25
18165,26.18,10.44,7.25
18167,26.18,10.44,7.25
18169,25.71,10.44,7.25
18171,25.82,10.44,7.25
18173,26.22,10.44,7.25
18175,25.67,10.44,7.25
18177,25.74,10.44,7.25
18179,26.04,10.44,7.25
18181,25.8,10.44,7.25
18183,26.04,10.44,7.25
18580,27.22,10.44,7.25
18700,31.06,10.44,12
18880,27.6,10.44,8.56
19001,27.39,10.44,7.25
19003,27.39,10.44,7.25
19005,27.39,10.44,7.25
19007,27.39,10.44,7.25
19009,27.39,10.44,7.25
19011,27.39,10.44,7.25
19013,27.95,10.44,7.25
19015,27.81,10.44,7.25
19017,27.39,10.44,7.25
19019,27.46,10.44,7.25
19021,27.39,10.44,7.25
19023,27.39,10.44,7.25
19025,27.39,10.44,7.25
19027,27.39,10.44,7.25
19029,27.39,10.44,7.25
19031,27.81,10.44,7.25
19033,27.92,10.44,7.25
19035,27.39,10.44,7.25
19037,27.39,10.44,7.25
19039,27.91,10.44,7.25
19041,27.39,10.44,7.25
19043,27.39,10.44,7.25
19045,27.79,10.44,7.25
19047,27.39,10.44,7.25
19049,28.97,10.44,7.25
19051,27.45,10.44,7.25
19053,27.39,10.44,7.25
19055,27.39,10.44,7.25
19057,28.3,10.44,7.25
19059,27.86,10.44,7.25
19060,26.49,10.44,11
19061,28.1,10.44,7.25
19063,27.39,10.44,7.25
19065,27.39,10.44,7.25
19067,27.39,10.44,7.25
19069,27.39,10.44,7.25
19071,27.39,10.44,7.25
19073,27.39,10.44,7.25
19075,27.95,10.44,7.25
19077,28.97,10.44,7.25
19079,27.56,10.44,7.25
19081,27.39,10.44,7.25
19083,27.39,10.44,7.25
19085,29.31,10.44,7.25
19087,27.56,10.44,7.25
19089,27.39,10.44,7.25
19091,27.39,10.44,7.25
19093,27.39,10.44,7.25
19095,27.39,10.44,7.25
19097,27.39,10.44,7.25
19099,27.69,10.44,7.25
19100,28.74,10.44,7.25
19101,27.81,10.44,7.25
19103,29.79,10.44,7.25
19105,27.39,10.44,7.25
19107,27.39,10.44,7.25
19109,27.39,10.44,7.25
19111,27.42,10.44,7.25
19113,28.06,10.44,7.25
19115,27.53,10.44,7.25
19117,28.15,10.44,7.25
19119,27.39,10.44,7.25
19121,28.97,10.44,7.25
19123,27.5,10.44,7.25
19125,27.74,10.44,7.25
19127,28.01,10.44,7.25
19129,29.31,10.44,7.25
19131,27.39,10.44,7.25
19133,27.39,10.44,7.25
19135,27.64,10.44,7.25
19137,27.39,10.44,7.25
19139,28.44,10.44,7.25
19140,26.58,10.44,7.25
19141,27.39,10.44,7.25
19143,27.39,10.44,7.25
19145,27.39,10.44,7.25
19147,27.39,10.44,7.25
19149,27.39,10.44,7.25
19151,27.39,10.44,7.25
19153,28.97,10.44,7.25
19155,29.31,10.44,7.25
19157,27.72,10.44,7.25
19159,27.39,10.44,7.25
19161,27.39,10.44,7.25
19163,28.07,10.44,7.25
19165,27.39,10.44,7.25
19167,27.39,10.44,7.25
19169,28.65,10.44,7.25
19171,27.45,10.44,7.25
19173,27.39,10.44,7.25
19175,27.39,10.44,7.25
19177,27.39,10.44,7.25
19179,27.73,10.44,7.25
19180,26.33,10.44,10
19181,28.97,10.44,7.25
19183,28.26,10.44,7.25
19185,27.39,10.44,7.25
19187,27.39,10.44,7.25
