FIPS_Code,Employed_2019,Unemployed_2019,Median_Household_Income_2019,Med_HH_Income_Percent_of_State_Total_2019,5_year_unemployment_delta
17103,16981,672,57619,83.25001526,-0.396825397
17105,15967,646,54422,78.63087463,-0.390625
17107,12153,527,53806,77.74085236,-0.353846154
17109,12859,598,49048,70.86632538,-0.362318841
17111,160446,5768,89379,129.1380157,-0.46969697
17113,85083,3173,69230,100.0260086,-0.345454545
17115,46324,2449,52259,75.50569153,-0.418604651
17117,22128,942,54174,78.27255249,-0.453333333
17119,130057,5048,66591,96.21308136,-0.478873239
17121,16967,749,52291,75.55192566,-0.454545455
17123,5104,245,63628,91.93203735,-0.352112676
17125,5979,321,51967,75.08380127,-0.413793103
17127,5314,299,54159,78.25088501,-0.3375
17129,6177,236,77306,111.6945038,-0.362068966
17131,7685,388,62241,89.92804718,-0.314285714
17133,18629,563,90904,131.3413849,-0.462962963
17135,11190,587,51665,74.64746094,-0.431818182
17137,15890,635,55937,80.81980133,-0.366666667
17139,7380,243,65472,94.59631348,-0.418181818
17141,23857,1159,63565,91.84101105,-0.386666667
17143,81063,4159,57717,83.39160919,-0.371794872
17145,7936,411,56880,82.18228149,-0.423529412
17147,8376,299,72265,104.411087,-0.381818182
17149,6766,293,54309,78.46760559,-0.275862069
17151,1597,89,46478,67.15309143,-0.369047619
17153,1830,125,38506,55.63486099,-0.39047619
17155,2894,148,74367,107.4481277,-0.363636364
17157,13849,500,58444,84.44200134,-0.47761194
17159,6977,284,49775,71.91671753,-0.4
17161,67654,3383,57772,83.47107697,-0.323943662
17163,122061,5387,57726,83.40460968,-0.46835443
17165,9178,489,48547,70.14246368,-0.385542169
17167,96057,3907,61768,89.24463654,-0.360655738
17169,3138,130,56015,80.93249512,-0.411764706
17171,2399,115,61231,88.46876526,-0.342857143
17173,10255,397,61376,88.6782608,-0.455882353
17175,2389,139,54804,79.18280029,-0.276315789
17177,20922,907,51786,74.82228851,-0.432432432
17179,61576,2707,66206,95.6568222,-0.382352941
17181,7066,404,51575,74.51742554,-0.393258427
17183,31561,1631,46295,66.88868713,-0.430232558
17185,5622,234,54249,78.38092041,-0.333333333
17187,8188,332,53621,77.47355652,-0.338983051
17189,9783,246,64297,92.89862823,-0.479166667
17191,6686,319,51829,74.88441467,-0.313432836
17193,6384,246,51388,74.24723816,-0.372881356
17195,27607,1168,50880,73.51325989,-0.414285714
17197,344488,14388,90249,130.3950195,-0.480519481
17199,30902,1319,56958,82.29497528,-0.430555556
17201,132234,7548,59510,85.98220062,-0.357142857
17203,18303,675,77117,111.4214325,-0.357142857
18001,16881,458,53532,92.91007996,-0.434782609
18003,181369,5741,56838,98.64797211,-0.456140351
18005,43982,1100,71181,123.5416641,-0.454545455
18007,4383,142,55016,95.48571014,-0.425925926
18009,4806,190,46811,81.24511719,-0.486486486
18011,35759,880,84137,146.0280762,-0.454545455
18013,7397,225,59617,103.471199,-0.5
18015,9798,299,58965,102.3395844,-0.423076923
18017,17420,609,51777,89.86410522,-0.403508772
18019,60307,2004,59441,103.1657333,-0.407407407
